"filename", "language", "HTML", "PHP", "JavaScript", "PostCSS", "XML", "JSON", "JSON with Comments", "Markdown", "SCSS", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Uretim_planlama.php", "PHP", 0, 166, 0, 0, 0, 0, 0, 0, 0, 0, 3, 85, 254
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Urun.php", "PHP", 0, 201, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 279
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Website.php", "PHP", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Yazilim.php", "PHP", 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 1, 34, 122
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Yemek.php", "PHP", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 53
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\Zimmet.php", "PHP", 0, 377, 0, 0, 0, 0, 0, 0, 0, 0, 0, 219, 596
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\controllers\index.html", "HTML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\core\index.html", "HTML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\helpers\index.html", "HTML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\helpers\site_helper.php", "PHP", 0, 1218, 0, 0, 0, 0, 0, 0, 0, 0, 32, 371, 1621
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\hooks\index.html", "HTML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\index.html", "HTML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\language\english\index.html", "HTML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\language\index.html", "HTML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\libraries\Datatables.php", "PHP", 0, 308, 0, 0, 0, 0, 0, 0, 0, 0, 164, 26, 498
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\libraries\index.html", "HTML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\logs\index.html", "HTML", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\models\Abonelik_model.php", "PHP", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 29
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\models\Arac_model.php", "PHP", 0, 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 190
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\models\Ariza_model.php", "PHP", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 38
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\models\Ayar_model.php", "PHP", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 27
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\models\Banner_model.php", "PHP", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 44
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\models\Baslik_model.php", "PHP", 0, 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 164
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\models\Bordro_model.php", "PHP", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 56
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\models\Cihaz_model.php", "PHP", 0, 229, 0, 0, 0, 0, 0, 0, 0, 0, 0, 69, 298
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\models\Demirbas_birim_model.php", "PHP", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 41
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\models\Demirbas_islem_model.php", "PHP", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 45
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\models\Demirbas_kategori_model.php", "PHP", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 55
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\models\Demirbas_model.php", "PHP", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 45
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\models\Departman_model.php", "PHP", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 40
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\models\Dokuman_goruntuleme_model.php", "PHP", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 34
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\models\Dokuman_inceleme_model.php", "PHP", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 46
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\models\Dokuman_kategori_model.php", "PHP", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9, 56
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\models\Dokuman_model.php", "PHP", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 47
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\models\Dokuman_revizyon_model.php", "PHP", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 4, 6, 47
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\models\Duyuru_kategori_model.php", "PHP", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 41
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\models\Duyuru_model.php", "PHP", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 43
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\models\Egitim_model.php", "PHP", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 52
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\models\Ilce_model.php", "PHP", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 43
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\models\Is_tip_model.php", "PHP", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 44
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\models\Istek_birim_model.php", "PHP", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 40
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\models\Istek_durum_model.php", "PHP", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 40
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\models\Istek_hareket_model.php", "PHP", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 32
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\models\Istek_kategori_model.php", "PHP", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 46
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\models\Istek_model.php", "PHP", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 58
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\models\Izin_model.php", "PHP", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 49
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\models\Kullanici_grup_model.php", "PHP", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 4, 2, 39
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\models\Kullanici_model.php", "PHP", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21, 84
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\models\Kullanici_yetki_grup_model.php", "PHP", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 40
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\models\Kullanici_yetkileri_model.php", "PHP", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 86
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\models\Merkez_model.php", "PHP", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 54
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\models\Metinler_model.php", "PHP", 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20, 83
"c:\xampp\htdocs\ugbusiness\ugbusiness\application\models\Musteri_model.php", "PHP", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 58
